epoch,tr_loss,tr_acc,val_f1
1,0.8625715734038787,0.5817978782802904,0.5228498528072681
2,0.6504476936684848,0.6577331099944165,0.5560290245192522
3,0.5305010858426076,0.7124511446119486,0.6066165221591051
4,0.43860668802580843,0.7587939698492462,0.6230960965685206
5,0.35319047207808374,0.7995533221663875,0.6622519092936973
6,0.29265336530924774,0.8364042434394193,0.6571274784771038
7,0.22972896702625045,0.8626465661641541,0.6538961677885653
8,0.2076469944516485,0.8799553322166388,0.6578718913983073
9,0.14555561200974043,0.9101060859854829,0.6852985161660141
10,0.11411543072750953,0.9307649357900614,0.6705097817612926
11,0.09079711044561856,0.9463986599664992,0.6955661518522253
12,0.06020388486813327,0.9609156895589056,0.693917569330691
13,0.051020177540908575,0.9704075935231714,0.6935748689299457
14,0.03201732369132511,0.981574539363484,0.6894700678279935
15,0.026859733855870767,0.981574539363484,0.6916914759108204
16,0.02417277819297621,0.9854829704075935,0.683554698092457
