epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,130.682,1.7425,2.88856,2.63653,1.8368,0,0.26371,0.10388,0.1012,0.04178,0.26597,0.10963,0.09567,0.03238,2.28895,4.0916,3.49828,2.26619,0,0.0007228,0.0007228,0.0007228
30,134.583,1.68942,2.99747,2.66281,1.81584,0,0.291,0.11055,0.08763,0.03444,0.32196,0.08444,0.08393,0.02887,2.28655,4.10841,3.3924,2.29955,0,0.0007129,0.0007129,0.0007129
31,138.292,1.62939,2.92885,2.60291,1.75988,0,0.16371,0.1651,0.11291,0.04674,0.15876,0.13176,0.09615,0.03657,2.28282,3.8483,3.12732,2.29572,0,0.000703,0.000703,0.000703
32,143.39,1.67494,2.93168,2.46457,1.77784,0,0.18143,0.13671,0.10993,0.03781,0.17063,0.13306,0.0843,0.02199,2.30306,3.99839,3.19253,2.30892,0,0.0006931,0.0006931,0.0006931
33,147.512,1.65423,2.97862,2.4691,1.78689,0,0.12304,0.15769,0.11042,0.04064,0.10645,0.13111,0.09455,0.02716,2.23536,3.93058,3.23112,2.23215,0,0.0006832,0.0006832,0.0006832
34,151.227,1.65795,2.99999,2.56369,1.8352,0,0.21237,0.13583,0.10729,0.03548,0.18715,0.12519,0.09814,0.02329,2.22287,4.29754,3.28365,2.23316,0,0.0006733,0.0006733,0.0006733
35,155.03,1.64519,2.92952,2.36485,1.74461,0,0.14777,0.12131,0.08139,0.02682,0.13802,0.10954,0.07264,0.01784,2.1843,3.97098,3.34819,2.21105,0,0.0006634,0.0006634,0.0006634
36,158.882,1.59306,3.04061,2.40984,1.73359,0,0.45678,0.11695,0.09241,0.03447,0.34796,0.07778,0.05441,0.0204,2.27174,4.20237,3.3118,2.36005,0,0.0006535,0.0006535,0.0006535
37,162.77,1.59457,2.85823,2.43023,1.71406,0,0.2516,0.17176,0.10634,0.0457,0.09104,0.10954,0.05847,0.02303,2.13162,3.982,3.38535,2.16226,0,0.0006436,0.0006436,0.0006436
38,166.67,1.57997,2.83536,2.43909,1.70129,0,0.12206,0.08806,0.04767,0.02217,0.13438,0.10806,0.05116,0.01455,2.22435,3.94339,3.82432,2.28706,0,0.0006337,0.0006337,0.0006337
39,170.56,1.62067,2.98587,2.32588,1.74172,0,0.13016,0.11028,0.09701,0.04783,0.26638,0.10806,0.10074,0.0387,2.24568,3.65926,3.58367,2.38401,0,0.0006238,0.0006238,0.0006238
40,175.071,1.59032,2.69629,2.30774,1.72473,0,0.11722,0.1488,0.10529,0.0471,0.12489,0.16214,0.09919,0.03485,2.17872,3.84879,3.32759,2.28383,0,0.0006139,0.0006139,0.0006139
41,178.916,1.59075,2.72143,2.36728,1.69556,0,0.12626,0.10123,0.09955,0.04887,0.11764,0.13185,0.09733,0.03641,2.17324,3.89375,3.31869,2.24694,0,0.000604,0.000604,0.000604
42,182.585,1.56247,2.64945,2.16668,1.71057,0,0.41152,0.09473,0.10037,0.04043,0.41704,0.10214,0.09736,0.03472,2.0655,3.7931,3.37816,2.13115,0,0.0005941,0.0005941,0.0005941
43,186.52,1.46991,2.66737,2.07263,1.64319,0,0.10714,0.16064,0.10291,0.04095,0.10063,0.1467,0.08125,0.02944,2.1415,3.61425,3.42601,2.2433,0,0.0005842,0.0005842,0.0005842
44,190.56,1.48487,2.69149,2.07022,1.65872,0,0.29509,0.10869,0.12135,0.04385,0.29509,0.10869,0.1086,0.03614,2.18965,3.57943,3.40858,2.26392,0,0.0005743,0.0005743,0.0005743
45,194.733,1.52558,2.75756,2.12047,1.66344,0,0.24979,0.14124,0.0908,0.0265,0.24757,0.13522,0.09539,0.02682,2.16159,3.48132,3.43698,2.2224,0,0.0005644,0.0005644,0.0005644
46,198.616,1.53678,2.66619,2.12824,1.66023,0,0.11293,0.14057,0.06832,0.02679,0.13512,0.14444,0.08426,0.02359,2.22614,3.67975,3.45521,2.36592,0,0.0005545,0.0005545,0.0005545
47,202.522,1.50342,2.61923,2.10902,1.64774,0,0.26604,0.13238,0.11141,0.04059,0.22178,0.12139,0.10449,0.03059,2.17036,3.56519,3.39442,2.30622,0,0.0005446,0.0005446,0.0005446
48,206.454,1.47848,2.64832,2.07066,1.62227,0,0.12551,0.1702,0.09648,0.03429,0.10837,0.15259,0.08132,0.02235,2.24311,3.57905,3.48959,2.2978,0,0.0005347,0.0005347,0.0005347
49,210.803,1.45268,2.61991,2.09693,1.60141,0,0.1135,0.13935,0.09139,0.03375,0.09174,0.13185,0.05831,0.02127,2.22713,3.73962,3.65559,2.28271,0,0.0005248,0.0005248,0.0005248
50,214.62,1.45611,2.60761,2.0737,1.62371,0,0.13644,0.13886,0.10545,0.04717,0.19754,0.09325,0.10383,0.04026,2.07672,4.11876,3.47575,2.23635,0,0.0005149,0.0005149,0.0005149
51,219.537,1.50636,2.58346,1.99705,1.66415,0,0.14879,0.10806,0.09554,0.04217,0.25867,0.09325,0.09517,0.04006,2.11114,4.30358,3.48175,2.25202,0,0.000505,0.000505,0.000505
52,223.655,1.40762,2.5551,1.87669,1.59006,0,0.15843,0.13333,0.08831,0.03492,0.16192,0.12593,0.08931,0.03002,2.15854,3.7884,3.48459,2.32904,0,0.0004951,0.0004951,0.0004951
53,227.447,1.4425,2.46474,1.89109,1.55756,0,0.15682,0.13028,0.09651,0.0439,0.16684,0.12288,0.08807,0.04025,2.14059,3.60625,3.47539,2.31837,0,0.0004852,0.0004852,0.0004852
54,231.653,1.38234,2.58619,1.92788,1.53066,0,0.10097,0.15102,0.08614,0.03618,0.07988,0.13621,0.06828,0.02929,2.13988,3.63844,3.65829,2.23644,0,0.0004753,0.0004753,0.0004753
55,235.86,1.39779,2.48821,1.88723,1.54426,0,0.10742,0.16894,0.08102,0.03161,0.10992,0.17259,0.06739,0.02136,2.15361,3.74545,3.71987,2.31012,0,0.0004654,0.0004654,0.0004654
56,239.783,1.34933,2.44526,1.77998,1.50304,0,0.16346,0.16196,0.08556,0.03176,0.18183,0.16903,0.09925,0.02429,2.13842,3.82832,3.69005,2.26038,0,0.0004555,0.0004555,0.0004555
57,244.204,1.39302,2.41259,1.82857,1.56454,0,0.17898,0.13431,0.09743,0.03411,0.14612,0.14057,0.07878,0.02546,2.11609,3.95571,3.75223,2.22814,0,0.0004456,0.0004456,0.0004456
58,248.082,1.35781,2.44557,1.82845,1.53549,0,0.1553,0.13333,0.0978,0.04093,0.15607,0.10806,0.08486,0.03071,2.19884,3.94956,3.73948,2.3601,0,0.0004357,0.0004357,0.0004357
59,252.101,1.41076,2.47102,1.81486,1.5984,0,0.36044,0.16048,0.11329,0.04215,0.34683,0.14871,0.0898,0.03558,2.20742,3.70267,3.39745,2.43391,0,0.0004258,0.0004258,0.0004258
60,256.12,1.35251,2.43228,1.79665,1.52628,0,0.34437,0.15752,0.11803,0.04539,0.30308,0.11111,0.09232,0.04293,2.15706,3.74624,3.31002,2.35783,0,0.0004159,0.0004159,0.0004159
61,260.639,1.38665,2.49247,1.81253,1.54305,0,0.4382,0.13028,0.11915,0.04809,0.42191,0.1037,0.09747,0.04375,2.14911,3.79424,3.54338,2.34758,0,0.000406,0.000406,0.000406
62,265.453,1.33438,2.49615,1.74983,1.51416,0,0.37868,0.17399,0.10931,0.0446,0.35136,0.14741,0.08945,0.03835,2.17721,3.8663,3.60243,2.35774,0,0.0003961,0.0003961,0.0003961
63,269.428,1.32576,2.31036,1.71888,1.51385,0,0.12543,0.18863,0.09213,0.03527,0.11573,0.17452,0.08281,0.03013,2.15302,3.90146,3.61506,2.3669,0,0.0003862,0.0003862,0.0003862
64,273.343,1.25232,2.27782,1.60344,1.47647,0,0.11434,0.17242,0.08496,0.0385,0.09826,0.15325,0.07781,0.03282,2.1219,3.8302,3.73603,2.32143,0,0.0003763,0.0003763,0.0003763
65,277.692,1.30535,2.35859,1.71642,1.48843,0,0.14054,0.15989,0.08336,0.03095,0.14311,0.14519,0.07782,0.03229,2.18169,3.95253,3.64083,2.37265,0,0.0003664,0.0003664,0.0003664
66,281.841,1.32569,2.31411,1.62498,1.51192,0,0.14474,0.17168,0.09816,0.03208,0.12664,0.1451,0.08469,0.03062,2.30673,3.86905,3.66973,2.45091,0,0.0003565,0.0003565,0.0003565
67,285.954,1.28328,2.40069,1.63529,1.47278,0,0.10385,0.14048,0.09166,0.03551,0.09624,0.1538,0.0796,0.02867,2.24735,3.71795,3.76035,2.40085,0,0.0003466,0.0003466,0.0003466
68,290.365,1.32498,2.348,1.63223,1.47983,0,0.06217,0.13603,0.08466,0.03365,0.0633,0.13603,0.07718,0.02853,2.21715,3.58112,3.98524,2.40136,0,0.0003367,0.0003367,0.0003367
69,294.566,1.27918,2.31591,1.52706,1.45996,0,0.10306,0.1319,0.08657,0.03782,0.09667,0.11507,0.0803,0.03198,2.23672,3.61276,3.88983,2.49228,0,0.0003268,0.0003268,0.0003268
70,298.514,1.2796,2.26855,1.55141,1.46434,0,0.0839,0.11111,0.07712,0.03327,0.07372,0.1037,0.06855,0.02982,2.21313,3.60298,3.95501,2.4265,0,0.0003169,0.0003169,0.0003169
71,302.388,1.22789,2.25074,1.46537,1.41326,0,0.09868,0.13778,0.08871,0.04148,0.07758,0.12296,0.07287,0.03243,2.13334,3.71023,3.90721,2.3364,0,0.000307,0.000307,0.000307
72,306.15,1.22271,2.10893,1.44158,1.40403,0,0.15353,0.17621,0.0961,0.04619,0.15159,0.16288,0.08481,0.03787,2.12694,3.75884,3.74709,2.28024,0,0.0002971,0.0002971,0.0002971
73,310.118,1.18264,2.14699,1.39387,1.40761,0,0.13007,0.13769,0.09295,0.04196,0.13555,0.13769,0.07928,0.0343,2.16265,3.82942,3.77597,2.31865,0,0.0002872,0.0002872,0.0002872
74,314.171,1.17671,2.22721,1.37822,1.39413,0,0.10036,0.16697,0.09711,0.04027,0.09603,0.14815,0.09573,0.04055,2.09467,3.90902,3.70031,2.24472,0,0.0002773,0.0002773,0.0002773
75,317.954,1.20145,2.2414,1.43875,1.39018,0,0.13753,0.17325,0.10773,0.04411,0.12431,0.14667,0.09678,0.0414,2.17009,3.97438,3.7355,2.35876,0,0.0002674,0.0002674,0.0002674
76,321.691,1.16095,2.06969,1.39266,1.37854,0,0.12599,0.1412,0.09561,0.03833,0.11932,0.13185,0.08317,0.03476,2.16171,3.87398,3.79852,2.3607,0,0.0002575,0.0002575,0.0002575
77,325.853,1.14279,2.09553,1.36696,1.3557,0,0.09919,0.11852,0.0892,0.03336,0.09773,0.12444,0.07708,0.03482,2.12654,3.80118,3.87128,2.35958,0,0.0002476,0.0002476,0.0002476
78,329.919,1.14502,2.08017,1.34863,1.34365,0,0.14967,0.10963,0.09838,0.03512,0.13767,0.10222,0.08199,0.03273,2.14374,3.84709,3.9339,2.36234,0,0.0002377,0.0002377,0.0002377
79,333.887,1.14895,2.11168,1.39454,1.37204,0,0.14572,0.17612,0.1058,0.03759,0.11038,0.12444,0.07954,0.03342,2.13781,3.96404,3.75392,2.33305,0,0.0002278,0.0002278,0.0002278
80,338.339,1.13641,2.14224,1.37269,1.3739,0,0.13404,0.1423,0.10305,0.03769,0.40135,0.08476,0.08014,0.03635,2.12734,4.15299,3.56244,2.37474,0,0.0002179,0.0002179,0.0002179
81,342.005,1.12686,2.07384,1.35096,1.35813,0,0.14136,0.17455,0.11147,0.0394,0.11106,0.13185,0.08553,0.03836,2.12358,4.16812,3.53609,2.36076,0,0.000208,0.000208,0.000208
