label,Weighted F1,Kappa,F1_Normal,F1_Pre-caries,F1_Caries,F1_Decolor
Image only (baseline),0.4655,0.2665,0.325,0.4938,0.4746,0.4952
Full fusion (all FG),0.9523,0.9346,0.9899,0.9292,1.0,0.9163
Remove 'stain',0.9494,0.9307,0.9899,0.9258,1.0,0.91
Remove 'defect',0.9239,0.896,0.9899,0.9004,0.9405,0.9026
Remove 'brown',0.9466,0.9268,0.9899,0.9211,1.0,0.9055
Remove 'chalky',0.9523,0.9346,0.9899,0.9292,1.0,0.9163
Remove 'fill',0.9523,0.9346,0.9899,0.9292,1.0,0.9163
Remove 'wear',0.9523,0.9346,0.9899,0.9292,1.0,0.9163
